xs,ys,yc
0.05100797,0.16086164,0
-0.74807425,0.08904024,0
-0.77293371,0.26317168,0
0.2183736,0.12706142,0
0.37268336,0.496562,0
-0.62931544,0.63202159,0
-0.43307167,0.14479166,0
-0.8415197,-0.19131316,0
0.39350146,0.77975197,1
-0.45639966,0.80523454,1
0.51128242,0.76606136,1
0.22550468,0.46451215,1
0.01462984,0.40190926,1
-0.19172785,0.80943313,1
0.38323479,0.75601744,1
0.49791612,0.61334375,1
0.3533523,0.77324337,1
-0.34722575,0.70177856,1
0.58380468,0.76357539,1
-0.13727764,0.71246351,1
0.38827268,0.44977123,1
-0.53172709,0.61934293,1
-0.11684624,0.8785121,1
0.54335864,0.41174865,1
-0.45399302,0.66512988,1
-0.219132,0.83484947,1
0.30485742,0.9802876,1
0.65676798,0.75766017,1
0.61420447,0.75039019,1
-0.45809964,0.77968606,1
